,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
anss,2020-01-02,2020-12-31,0.0,0.4014407062105547,0.4030659175369147,-0.30958331667339245,1.3019626569933855,0.0761403017815312,0.1117561824369726,0.24704341031961286,0.4014407062105547,,,,,0.4030659175369147,0.959824568864176,1.635504194653561,0.4431211862501736,0.4616689347455945,0.45778891364971935,6.1661720914451745,0.15142321450867047,-0.12348140468749846,1.2349213272907673,2.578286105519122,0.34808489437962387,0.2818680726352585,-0.6079724831044803,-1.011292929780737,0.1262958024579206,-0.11715811505860618,,,,,,,,,-0.040924262182601645,14.761904761904763,0.08299673119515681,-0.06547482462952728,,
aapl,2020-01-02,2020-12-31,0.0,0.7823994822752378,0.7859406204665007,-0.31427258444277784,2.500824632412705,0.11457376802356634,0.14773280497408448,0.46007228147507195,0.7823994822752378,,,,,0.7859406204665007,1.471828504193368,2.470335434049944,0.687334107198854,0.4669933387215828,-0.051776281272669436,3.724673672936814,0.11980836367585512,-0.12864702777879056,1.6528966650167742,4.327902835319135,0.6901316075151727,0.4175285861007947,-0.3975590365930129,-1.6187378372827523,0.21656934542052464,-0.11470143832340363,,,,,,,,,-0.0475703701766889,16.473684210526315,0.13994600712444963,-0.08675035241222645,,
amat,2020-01-02,2020-12-31,0.0,0.4061772446033618,0.4078242607901539,-0.4364338860662951,0.9344468287419018,0.04631436367379593,0.45594714156057803,0.43661974172961804,0.4061772446033618,,,,,0.4078242607901539,0.8782031223771465,1.3617305021053776,0.5179752144253441,0.5898125402051332,-0.6974749735876093,5.432322174967744,0.12813111337194494,-0.20357629790441956,1.1064270983602427,2.58447249749456,0.5658190263305057,0.5113929577186477,0.9395305220117971,3.392104853819304,0.39666915307242867,-0.21163106346921745,,,,,,,,,-0.07605941913220356,27.583333333333332,0.11545105840744428,-0.0723724920122866,,
asml,2020-01-02,2020-12-31,0.0,0.6249758841975268,0.6276873278346791,-0.37944180581873543,1.6542387217462642,0.11420275830392046,0.3258923871486574,0.33035961060612995,0.6249758841975268,,,,,0.6276873278346791,1.2452911960686357,1.9582362828976372,0.6055284187037338,0.4862544765556661,-0.6807550500194234,5.750396286455251,0.11606264094993901,-0.1734916695640618,2.1602305003543285,10.35421837287033,0.669300124799217,0.3098281061624841,0.35075582776234904,-1.1067568460399229,0.21654521717802133,-0.05446110322406239,,,,,,,,,-0.046375167828434,13.130434782608695,0.12598197554848647,-0.02847334777832733,,
team,2020-01-02,2020-12-31,0.0,0.903238935095942,0.9074497780251165,-0.2192073492779545,4.139686835382841,0.039191255035891936,0.28648442573559096,0.29733172227430194,0.903238935095942,,,,,0.9074497780251165,1.65256360987901,3.0318866021412583,0.744987785953515,0.4508073283836005,0.24292051116856692,1.4623258923277636,0.10667968909526904,-0.09064163815902193,1.8049037743141652,7.728074990488818,0.5580841869048622,0.3092043990638367,0.5155346400136454,-1.2049026305558819,0.19171648662591578,-0.05311818329472151,,,,,,,,,-0.054673941403250055,13.727272727272727,0.1129651918201398,-0.03324279591827635,,
adsk,2020-01-02,2020-12-31,0.0,0.6256188753729093,0.6283336041061784,-0.35471624812749325,1.7713696720211722,0.0896049115624078,0.32176097830630934,0.2765583562075884,0.6256188753729093,,,,,0.6283336041061784,1.2166860080276807,1.945538451016869,0.6134045926864833,0.5041601437340831,-0.12678648919254612,4.549682005634954,0.1619852851418888,-0.12002733075909244,1.4019782316141203,2.9323652531225823,0.5610151855134337,0.4001596978203632,-0.48950197975407855,-0.0666054526509674,0.19878281592583513,-0.18220870646273013,,,,,,,,,-0.039610081422095655,12.12,0.11401823536375533,-0.07096593187307662,,
adp,2020-01-02,2020-12-31,0.0,0.059685944558341086,0.05989692961844573,-0.39451186629796686,0.15182541955076906,0.018792881295834674,0.26996705558122525,0.1977298040688753,0.059685944558341086,,,,,0.05989692961844573,0.35418591150715883,0.5469536053717948,0.15793775341149519,0.445917661545109,-0.3346755622881036,7.028423396731279,0.11803562478892804,-0.15252592106710272,0.3285789619061112,0.5541411405259397,0.09442073261985438,0.2873608586262268,-0.2788578656932856,-0.9349880653015217,0.13241107937490204,-0.11124758007184465,,,,,,,,,-0.05661961496626733,38.111111111111114,0.05766254614696953,-0.07927137119848005,,
bidu,2020-01-02,2020-12-31,0.0,0.5644624770902895,0.5668687320613959,-0.42135488253287245,1.3453474863132053,0.5557953589965099,0.7081918931096423,0.8036534039038012,0.5644624770902895,,,,,0.5668687320613959,1.2169549780053406,2.2099599692968,0.5478384853961743,0.4501715308269771,0.5638959960602588,4.190991908515962,0.13831610430471808,-0.10579320484091126,1.2399845932724134,4.593060729782588,0.7639126139777683,0.6160662141468587,2.320129960675009,7.065858880784117,0.5557953589965099,-0.15994333976068575,,,,,,,,,-0.08456102665865083,48.57142857142857,0.11165717035410688,-0.06433471111774473,,
biib,2020-01-02,2020-12-31,0.0,-0.16782215627688857,-0.16834698606764475,-0.3356578712060909,-0.5015433883994372,0.019527844764803293,-0.1368443072042701,-0.08480653417250306,-0.16782215627688857,,,,,-0.16834698606764475,0.05971876033969188,0.11086234080720647,0.04135533090691379,0.692501496542739,3.3510505751428967,48.22473583418659,0.4397393335959552,-0.2816661632982739,-0.24878802244893647,-0.4052169027433936,-0.06769219763992827,0.2720878480145564,0.1400307285877102,0.2872630080692762,0.14707088579978578,-0.1287570712704561,,,,,,,,,-0.13985562423256528,49.57142857142857,0.05015057955307648,-0.07259093169767863,,
bkng,2020-01-02,2020-12-31,0.0,0.07360040859172368,0.07386227023305092,-0.4478700253230544,0.1649189855466954,0.09801576235317655,0.30197930039558596,0.3987402610873023,0.07360040859172368,,,,,0.07386227023305092,0.39288839192378844,0.6931300862415961,0.20535815334779162,0.522688268651181,0.7418494286044667,6.022481155222332,0.18752066726524186,-0.11237433316182843,0.6797930761131457,1.3666922492821307,0.30996814616710755,0.45597426196132074,-0.09998109955112183,-0.36745720776192714,0.2502002780720338,-0.2066098633150304,,,,,,,,,-0.1424947220230544,87.75,0.1248778019228159,-0.09302586884340938,,
